"name","slug","main_category","source_type","source_slug","top_category_slug","confidence"
"Yenidogan Hediyelik","service-yenidogan-hediyelik","nikah-sekeri-ve-hediyelik","strict_v2","service-yenidogan-hediyelik","service-other","low"
"Kina Organizasyon","kina-organizasyon","organizasyon-hizmetleri","source","service-kina-organizasyon","",""
"Kina Tahti Kiralama","kina-tahti-kiralama","organizasyon-hizmetleri","manual_seed","","",""
"Nisan Masasi Kiralama","nisan-masasi-kiralama","organizasyon-hizmetleri","manual_seed","","",""
"Nisan Organizasyon","nisan-organizasyon","organizasyon-hizmetleri","source","service-nisan-organizasyon","",""
"Sunnet Organizasyonu","sunnet-organizasyonu","organizasyon-hizmetleri","manual_seed","","",""
"Dansoz Kiralama","service-dansoz-kiralama","soz-ve-nisan","strict_v2","service-dansoz-kiralama","service-rental","medium"
"Nisan Arka Fon Kiralama","service-nisan-arka-fon-kiralama","soz-ve-nisan","strict_v2","service-nisan-arka-fon-kiralama","service-events-organization","medium"
"Nisan Cikolatasi","service-nisan-cikolatasi","soz-ve-nisan","strict_v2","service-nisan-cikolatasi","service-events-organization","medium"
"Nisan Fotografcisi","service-nisan-fotografcisi","soz-ve-nisan","strict_v2","service-nisan-fotografcisi","service-events-organization","medium"
"Nisan Yemegi","service-nisan-yemegi","soz-ve-nisan","strict_v2","service-nisan-yemegi","service-events-organization","medium"
"Soz Fotograf Cekimi","service-soz-fotograf-cekimi","soz-ve-nisan","strict_v2","service-soz-fotograf-cekimi","service-photo-video-media","medium"
