"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-ahsap-mutfak-tezgahi","Ahsap Mutfak Tezgahi","service-home-furniture-wood","high","manual_review","","no_match"
"service-ahsap-palet-yapimi","Ahsap Palet Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-cam-korkuluk","Cam Korkuluk","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-dogum-gunu-balon-susleme","Dogum Gunu Balon Susleme","service-events-organization","high","manual_review","","no_match"
"service-istatistik-veri-analizi","Istatistik Veri Analizi","service-design-software-marketing","high","manual_review","","no_match"
"service-masa-sandalye-boyama","Masa Sandalye Boyama","service-home-furniture-wood","high","manual_review","","no_match"
"service-mutfak-fayans-doseme","Mutfak Fayans Doseme","service-construction-renovation","high","manual_review","","no_match"
"service-online-elektro-gitar-dersi","Online Elektro Gitar Dersi","service-education-lessons","high","manual_review","","no_match"
"service-online-ney-dersi","Online Ney Dersi","service-education-lessons","high","manual_review","","no_match"
"service-online-reformer-pilates-dersi","Online Reformer Pilates Dersi","service-education-lessons","high","manual_review","","no_match"
"service-online-yoga-dersi","Online Yoga Dersi","service-education-lessons","high","manual_review","","no_match"
"service-pimapen-cam-degisimi","Pimapen Cam Degisimi","service-glass-aluminum-pvc","high","manual_review","","no_match"
"service-porselen-mutfak-tezgahi","Porselen Mutfak Tezgahi","service-home-furniture-wood","high","manual_review","","no_match"
"service-yukluk-dolap-yapimi","Yukluk Dolap Yapimi","service-home-furniture-wood","high","manual_review","","no_match"
"service-ahir-yapimi","Ahir Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ahsap-cit","Ahsap Cit","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ahsap-jaluzi-perde","Ahsap Jaluzi Perde","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ahsap-kamelya","Ahsap Kamelya","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ahsap-merdiven-korkulugu","Ahsap Merdiven Korkulugu","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ahsap-veranda","Ahsap Veranda","service-home-furniture-wood","medium","manual_review","","no_match"
"service-aluminyum-kupeste","Aluminyum Kupeste","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-aluminyum-vitrin","Aluminyum Vitrin","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-amazon-danismanligi","Amazon Danismanligi","service-business-consulting","medium","manual_review","","no_match"
"service-ankastre-tezgah-kesimi","Ankastre Tezgah Kesimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-arac-folyo-sokme","Arac Folyo Sokme","service-repair-maintenance","medium","manual_review","","no_match"
"service-ariston-servisi","Ariston Servisi","service-repair-maintenance","medium","manual_review","","no_match"
"service-atv-nakliye","Atv Nakliye","service-moving-logistics","medium","manual_review","","no_match"
"service-ayakkabi-temizleme","Ayakkabi Temizleme","service-home-cleaning","medium","manual_review","","no_match"
"service-baca-temizleme","Baca Temizleme","service-home-cleaning","medium","manual_review","","no_match"
"service-bahce-tas-doseme","Bahce Tas Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-balon-susleme","Balon Susleme","service-events-organization","medium","manual_review","","no_match"
"service-banyo-kapisi","Banyo Kapisi","service-construction-renovation","medium","manual_review","","no_match"
"service-beyaz-esya-servisi","Beyaz Esya Servisi","service-repair-maintenance","medium","manual_review","","no_match"
